run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
29,2_VEL_PI_disturbance,evo_g000003_c3,2026-03-19 17:18:32,,,,,0.086735,0.022075,5.4136,14.5307,17.5751,2.798,2.4878,0.416,13.0,,,,,,28.2026,PASS,
32,2_VEL_PI_disturbance,evo_g000003_c6,2026-03-19 17:18:32,,,,,0.025941,0.029133,4.1921,12.4591,17.2048,3.71,2.4474,0.544,13.0,,,,,,26.042,PASS,
33,2_VEL_PI_disturbance,evo_g000003_c7,2026-03-19 17:18:32,,,,,0.117532,0.011935,5.3578,15.0244,20.7587,3.036,2.8658,0.142,13.0,,,,,,33.4074,PASS,
38,2_VEL_PI_disturbance,evo_g000004_c4,2026-03-19 17:18:34,,,,,0.01,0.016458,2.9667,9.9012,17.6381,3.58,2.5866,0.466,13.0,,,,,,32.7213,PASS,
34,2_VEL_PI_disturbance,evo_g000004_c0,2026-03-19 17:18:34,,,,,0.070958,0.034739,5.8757,16.3813,18.7076,3.124,2.6894,0.564,13.0,,,,,,34.5338,PASS,
36,2_VEL_PI_disturbance,evo_g000004_c2,2026-03-19 17:18:34,,,,,0.01,0.013026,2.7646,7.7514,17.4329,4.09,2.3374,0.458,13.0,,,,,,28.0205,PASS,
41,2_VEL_PI_disturbance,evo_g000004_c7,2026-03-19 17:18:34,,,,,0.152645,0.012632,5.8714,15.428,18.9554,3.228,2.5218,0.118,13.0,,,,,,28.9509,PASS,
37,2_VEL_PI_disturbance,evo_g000004_c3,2026-03-19 17:18:34,,,,,0.015368,0.06359,5.4969,12.7658,19.3715,3.172,2.6278,0.328,13.0,,,,,,29.3109,PASS,
39,2_VEL_PI_disturbance,evo_g000004_c5,2026-03-19 17:18:34,,,,,0.01,0.022517,3.0599,7.0841,15.3379,4.148,2.2564,0.454,13.0,,,,,,25.795,PASS,
40,2_VEL_PI_disturbance,evo_g000004_c6,2026-03-19 17:18:34,,,,,0.014066,0.01,2.8641,9.2787,17.8,3.744,2.5973,0.468,13.0,,,,,,31.1153,PASS,
35,2_VEL_PI_disturbance,evo_g000004_c1,2026-03-19 17:18:34,,,,,0.015147,0.018494,2.8856,7.8387,15.4109,2.996,2.3935,0.454,13.0,,,,,,26.8633,PASS,
45,2_VEL_PI_disturbance,evo_g000005_c3,2026-03-19 17:18:35,,,,,0.031936,0.069715,5.0967,14.8153,16.5913,4.386,2.4546,0.5,13.0,,,,,,27.4341,PASS,
49,2_VEL_PI_disturbance,evo_g000005_c7,2026-03-19 17:18:35,,,,,0.01,0.015137,2.7272,7.863,17.789,3.924,2.5813,0.46,13.0,,,,,,28.7212,PASS,
46,2_VEL_PI_disturbance,evo_g000005_c4,2026-03-19 17:18:35,,,,,0.01,0.040922,3.9463,8.8851,15.0746,3.29,2.205,0.37,13.0,,,,,,26.7774,PASS,
44,2_VEL_PI_disturbance,evo_g000005_c2,2026-03-19 17:18:35,,,,,0.01,0.244934,12.3063,19.0273,24.3954,3.822,3.0281,0.992,13.0,,,,,,35.1875,PASS,
48,2_VEL_PI_disturbance,evo_g000005_c6,2026-03-19 17:18:35,,,,,0.01,0.013246,2.7161,8.0983,18.5946,3.662,2.5252,0.476,13.0,,,,,,29.741,PASS,
47,2_VEL_PI_disturbance,evo_g000005_c5,2026-03-19 17:18:35,,,,,0.083993,0.039647,5.6601,16.943,17.3475,3.91,2.4753,0.416,13.0,,,,,,28.8571,PASS,
43,2_VEL_PI_disturbance,evo_g000005_c1,2026-03-19 17:18:35,,,,,0.01,0.029893,3.3316,9.1317,14.4049,3.842,2.1111,0.42,13.0,,,,,,25.2409,PASS,
42,2_VEL_PI_disturbance,evo_g000005_c0,2026-03-19 17:18:35,,,,,0.025492,0.119283,7.2419,17.6885,22.1642,4.626,3.0684,0.452,13.0,,,,,,29.4016,PASS,
52,2_VEL_PI_disturbance,evo_g000006_c2,2026-03-19 17:18:36,,,,,0.017264,0.021198,3.4803,10.1435,16.6766,3.836,2.2844,0.444,13.0,,,,,,25.73,PASS,
