Q_pitch,R,settle_time,overshoot,control_effort,peak_control,damp_ratio
50,0.05,0.734,2.8944032115136005,831159.1168912401,660.703830423325,0.968647655965139
50,0.1,0.734,2.8944032115136005,416674.6055425546,467.6194904812313,0.968142723175761
50,0.2,0.734,2.8944032115136005,209112.80230164988,331.08800737158526,0.9671329659243743
50,0.5,1.1420000000000001,2.894360317918633,84248.55162966828,208.8951612594769,0.9641065385811658
50,1.0,0.734,2.8943010065995725,42455.19494051807,151.52458563941488,0.959084983385107
75,0.05,0.734,2.8944032115136005,833363.0336155521,661.3195045369241,0.9510743849705515
75,0.1,0.734,2.8944032115136005,417770.8425536148,468.0518392757579,0.9506656254296616
75,0.2,0.734,2.8944032115136005,209655.32552655868,331.38987698661106,0.9498487154513303
75,0.5,1.1420000000000001,2.894361921534063,84540.28608776901,210.03856230266325,0.9474038632527518
75,1.0,0.734,2.894303897434329,42545.67188608375,148.43883218574456,0.9433552666971247
100,0.05,0.734,2.8944032115136005,835502.6087604426,661.9162092643601,0.9381985161812572
100,0.1,0.734,2.8944032115136005,418835.268716503,468.47094866951517,0.9378464637048309
100,0.2,0.734,2.8944032115136005,210182.2954865204,331.6826150499873,0.9371432523422178
100,0.5,1.1420000000000001,2.8943634883346236,84676.79626439692,213.35109316404305,0.9350413636027289
100,1.0,0.734,2.8943067289777087,42656.419736900876,148.99227582383443,0.9315678935357607
150,0.05,0.734,2.8944032115136005,839606.8947004289,663.0581232044098,0.9191766617653729
150,0.1,0.734,2.8944032115136005,420877.61757421604,469.27320597993867,0.9188966315691823
150,0.2,0.734,2.8944032115136005,211193.89378950227,332.2432593177538,0.9183376048768829
150,0.5,1.1420000000000001,2.8943665205615003,85054.4375816729,213.1885604582602,0.9166690461148185
150,1.0,0.734,2.894312229479849,42852.47966957264,150.49428736537516,0.9139181233920329
200,0.05,0.734,2.8944032115136005,843503.4788029902,664.1389552354323,0.9050825281408875
200,0.1,0.734,2.8944032115136005,422817.1541308664,470.0327799526798,0.904849209930167
200,0.2,0.734,2.8944032115136005,212155.10557402542,332.7743932116762,0.9043835520744294
200,0.5,1.1420000000000001,2.8943694314838546,85453.72813710336,213.19205891563274,0.9029945238049493
200,1.0,0.734,2.8943175332225244,43017.914830246176,150.77019311334269,0.9007066953592014
