eval_id,Q_pitch,R,fitness,rms_pitch_wobble_deg,max_pitch_deviation_deg,pitch_settle_time_s,pitch_oscillations_count,max_wheel_pos_drift_m,control_effort_integral,peak_torque_nm,max_bearing_load_n,pass_fail
1,125.92922053809802,0.6825864260899186,0.4265848296890886,0.10608504174542856,0.3578679735067196,0.05000000000000004,86,0.0023543195282966587,1.13454607023866,0.5704343152559287,90.45950729825185,True
2,29.367862877065264,1.5701645120714611,0.2925543227906887,0.0976679106974438,0.25585399372441575,0.05000000000000004,92,0.002231126795109079,0.7365409458119104,0.2290569669971178,90.43665608279723,True
3,41.79703513054009,0.26645635100307064,0.5521541106167625,0.10513411261260124,0.3651936045562374,0.05000000000000004,85,0.0027706146186260213,1.6316020844843526,0.5914582152690866,90.4669684433013,True
4,20.96929496480557,1.1912903574250584,0.37344814521154546,0.1043021417669288,0.3039314339003514,0.05000000000000004,81,0.0023111774474817944,1.0143342043632675,0.3718150192446076,90.41349296897783,True
5,39.14039507437366,1.2104789168957566,0.3534626600383989,0.10611744178044677,0.38049709827063216,0.05000000000000004,96,0.002129560134901892,0.9434269579822768,0.2673303180367057,90.43110893779375,True
6,69.73565178473339,0.8580833387724032,0.36573185835997485,0.11015794740069237,0.31049145438926695,0.05000000000000004,98,0.0025699107206026755,0.9511400881595915,0.3436967521567954,90.44393064805365,True
7,174.4740359758422,0.4060040201934122,0.5528633291962436,0.09709574319373715,0.2651666242687092,0.05000000000000004,99,0.002338903309066949,1.630748149443611,0.5637021389603261,90.50695625551492,True
8,184.78669986580354,1.7940235475783672,0.30079065379057507,0.09511296553757623,0.24143136680045973,0.05000000000000004,89,0.002480661498170134,0.749087657096281,0.30477421001840327,90.44676673101978,True
9,193.95310616310007,1.880333529873803,0.31652312759369944,0.103423335437602,0.33561942532357625,0.05000000000000004,94,0.0023422529310427554,0.7857085633384622,0.31258201997834534,90.4561460846286,True
10,93.59793395366961,0.6263181996331366,0.41853250019971355,0.11155767537409145,0.2887452517627769,0.05000000000000004,93,0.0022194552013266155,1.1256590156754946,0.4555078509093802,90.45222941208829,True
11,111.74532675557344,0.9064442177481029,0.40324650737064294,0.10628581700513473,0.3060619589780529,0.05000000000000004,92,0.002520126430147557,1.1160028948804317,0.3522743156245164,90.44778185097384,True
12,23.654784722802106,1.4633182533378923,0.3398479311651024,0.10804254799382752,0.2726330831106487,0.05000000000000004,98,0.0024245399178956795,0.8531804436040563,0.33850893082978195,90.44021682751179,True
13,77.20840166657507,0.9417478773770931,0.4005407707376675,0.10092871621143522,0.31296843724982026,0.05000000000000004,111,0.002588404640629594,1.0375493679442902,0.44764261338894945,90.4330673486832,True
14,143.21779396706305,1.3695134017040473,0.36199391546660614,0.10657689203485089,0.31312451572762545,0.05000000000000004,101,0.0019828711991470406,0.9324197390541222,0.3536164964930581,90.45520837973424,True
15,55.4848914589783,1.1342760739711377,0.3331853211199103,0.10264597246385675,0.2810190393152341,0.05000000000000004,95,0.0022433898166898487,0.8336523923231353,0.35765156090245787,90.43672911146484,True
16,81.5169161073897,1.5132806448621472,0.34930714414773645,0.10520112905372159,0.36224548562732184,0.05000000000000004,104,0.0020292718569375665,0.8773625881122922,0.35480191126787225,90.45256345584637,True
17,134.66680916791032,1.29953011541806,0.3415522795126566,0.10086281617247517,0.24745826519535563,0.05000000000000004,91,0.002452196351607072,0.9014356242562406,0.2985780770928497,90.42516261857142,True
18,150.9722732168001,1.719750477282954,0.32800677402319023,0.1130471469267831,0.3398125929291209,0.05000000000000004,105,0.002296383221385122,0.796539481716656,0.30693768179035974,90.42290916111362,True
19,53.27213672506934,1.6142620122165265,0.2911430590561927,0.10203281426333484,0.27626543757379807,0.05000000000000004,85,0.0022108687974867034,0.71572175339884,0.284573212416514,90.42967881574646,True
20,12.372087419366636,0.15301430318230136,0.7028439793296936,0.10602290458482069,0.2715349595326517,0.05000000000000004,92,0.0023345396977981167,2.1506319481871614,0.7630992250941522,90.48203843250998,True
21,165.46249843584079,0.32230214766047094,0.6484548320449378,0.10746881163736859,0.33269037850062877,0.05000000000000004,94,0.0026412295619561007,1.860124847480335,0.9290784960751544,90.44400210347654,True
22,180.61682662990654,1.0163114335379235,0.3734357579090186,0.11373416364813056,0.3142687597155873,0.05000000000000004,98,0.0022957483154688865,0.9800295052133571,0.33475566483333336,90.45433939030848,True
23,62.59353420541041,0.0730640489918577,1.0822936130902336,0.10568381656268981,0.2814666017516414,0.05000000000000004,98,0.0022965340581032525,3.496661391703809,1.1639543172758495,90.52641397098657,True
24,187.8937858463288,0.11604434611840331,0.9364030254246969,0.11327487924878689,0.32910710718134273,0.05000000000000004,81,0.0022517196394592144,2.87324203991596,1.3183221981830013,90.49476749390558,True
25,157.64083681523292,0.7639686689384814,0.4330382560447146,0.106864847721644,0.31236992618709136,0.05000000000000004,77,0.0021151209577787,1.2537123544621909,0.37941204148953445,90.47282013655067,True
26,137.43957548735028,0.48649916582027775,0.4989238606317133,0.10479106967492219,0.2922668715144465,0.05000000000000004,91,0.0024545174193290084,1.4309199512677997,0.5328654146092864,90.45878846589824,True
27,102.41862560279294,1.9552469119406297,0.2998476791766836,0.11729329222580141,0.39162469298270475,0.05000000000000004,94,0.0024014705098273216,0.7171006312443448,0.26174910373311394,90.4494877058185,True
28,123.78233620947222,0.4220851610083256,0.4524720395338087,0.0956665132285864,0.2416560826317402,0.05000000000000004,100,0.0023770051978625837,1.2530788731965015,0.504603149036763,90.47752461772248,True
