run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
26,s04_vel_pi_staircase,g000003_c0,3,,,,,,0.41405587866025834,0.004382016035149454,,,,,,,6.3762,15.2542,7.2639,0.0,0.4737,1.248,13.0,,,,,,2.05872,PASS,
27,s04_vel_pi_staircase,g000003_c1,3,,,,,,0.1964491245053329,0.07362167066911118,,,,,,,6.7949,15.2479,8.1312,0.0,0.5034,0.0,13.0,,,,,,2.18969,PASS,
28,s04_vel_pi_staircase,g000003_c2,3,,,,,,0.979090244726961,0.013829643802788854,,,,,,,8.0501,15.2424,7.5059,0.0,0.5385,13.0,13.0,,,,,,2.42051,PASS,
29,s04_vel_pi_staircase,g000003_c3,3,,,,,,20.000000000000004,0.016822757932351308,,,,,,,10.6618,15.2541,7.9651,0.0,0.5898,13.0,13.0,,,,,,2.83558,PASS,
30,s04_vel_pi_staircase,g000003_c4,3,,,,,,0.06997283702936431,0.0008366864394991116,,,,,,,4.0965,8.0634,10.5379,0.0,1.0232,0.0,13.0,,,,,,3.47925,PASS,
31,s04_vel_pi_staircase,g000003_c5,3,,,,,,1.00888532268857,0.15359814959409232,,,,,,,8.4683,15.2366,8.132,0.0,0.5439,13.0,13.0,,,,,,2.47853,PASS,
32,s04_vel_pi_staircase,g000003_c6,3,,,,,,3.514787610488061,0.019362869861614614,,,,,,,9.9018,15.2556,7.6665,0.0,0.5697,13.0,13.0,,,,,,2.69928,PASS,
33,s04_vel_pi_staircase,g000003_c7,3,,,,,,0.17413987276702142,0.034823219710627816,,,,,,,5.9423,14.9714,7.4759,0.0,0.5163,0.0,13.0,,,,,,2.14313,PASS,
34,s04_vel_pi_staircase,g000004_c0,4,,,,,,3.088461554724464,0.014923726908971017,,,,,,,9.8745,15.2487,7.7316,0.0,0.566,13.0,13.0,,,,,,2.68545,PASS,
35,s04_vel_pi_staircase,g000004_c1,4,,,,,,0.24324418449654162,0.005641965109662603,,,,,,,5.8615,15.2448,7.2112,0.0,0.5202,0.0,13.0,,,,,,2.14675,PASS,
36,s04_vel_pi_staircase,g000004_c2,4,,,,,,0.04766223931435738,0.0008713306240059084,,,,,,,3.5441,6.5653,13.3549,0.0,1.2761,0.0,13.0,,,,,,4.18271,PASS,
37,s04_vel_pi_staircase,g000004_c3,4,,,,,,1.5986859406184626,0.0015394886563475643,,,,,,,9.1378,15.237,7.7569,0.0,0.592,13.0,13.0,,,,,,2.68978,PASS,
38,s04_vel_pi_staircase,g000004_c4,4,,,,,,13.170860296932613,0.05324864911369792,,,,,,,10.6369,15.2105,7.5407,0.0,0.5188,13.0,13.0,,,,,,2.62009,PASS,
39,s04_vel_pi_staircase,g000004_c5,4,,,,,,11.749663657327375,0.0049280755288642715,,,,,,,10.6026,15.2549,8.1531,0.0,0.6265,13.0,13.0,,,,,,2.93976,PASS,
40,s04_vel_pi_staircase,g000004_c6,4,,,,,,0.3755376694551279,0.012171153038431186,,,,,,,6.3698,15.2483,7.3436,0.0,0.476,1.216,13.0,,,,,,2.06498,PASS,
41,s04_vel_pi_staircase,g000004_c7,4,,,,,,0.009412063262387912,0.8535035684298586,,,,,,,9.5787,15.1828,9.4354,0.0,0.5283,0.0,13.0,,,,,,2.54277,PASS,
42,s04_vel_pi_staircase,g000005_c0,5,,,,,,5.361483863186373,0.14081366676648735,,,,,,,10.2039,15.2622,8.0529,0.0,0.5979,13.0,13.0,,,,,,2.81409,PASS,
43,s04_vel_pi_staircase,g000005_c1,5,,,,,,0.014306045014004311,0.42047880834308593,,,,,,,9.879,15.3817,11.2436,0.0,0.9223,0.0,13.0,,,,,,3.7548,PASS,
44,s04_vel_pi_staircase,g000005_c2,5,,,,,,2.4306408846376217,0.006442005189679929,,,,,,,9.7826,15.2606,7.7081,0.0,0.5517,13.0,13.0,,,,,,2.63336,PASS,
45,s04_vel_pi_staircase,g000005_c3,5,,,,,,0.11715597371952204,0.05726293139634819,,,,,,,6.0491,12.0092,7.8133,0.0,0.5507,0.0,13.0,,,,,,2.25701,PASS,
46,s04_vel_pi_staircase,g000005_c4,5,,,,,,0.08749701692610085,0.23621264342686168,,,,,,,9.6808,15.3586,10.5753,0.0,0.7962,0.0,13.0,,,,,,3.35668,PASS,
47,s04_vel_pi_staircase,g000005_c5,5,,,,,,1.2868365300451072,0.005495429880683539,,,,,,,8.6963,15.2452,7.6857,0.0,0.5356,13.0,13.0,,,,,,2.47643,PASS,
48,s04_vel_pi_staircase,g000005_c6,5,,,,,,0.014276159225358765,0.12143768509086689,,,,,,,8.3983,14.885,9.5345,0.0,0.7961,0.0,13.0,,,,,,3.22813,PASS,
49,s04_vel_pi_staircase,g000005_c7,5,,,,,,0.023930362435929043,0.005199144512438519,,,,,,,2.6856,4.6898,16.8502,0.0,1.614,0.0,13.0,,,,,,5.11056,PASS,
50,s04_vel_pi_staircase,g000006_c0,6,,,,,,1.0047878638826937,0.024645717767935164,,,,,,,8.0104,15.2542,7.7675,0.0,0.5405,13.0,13.0,,,,,,2.42254,PASS,
51,s04_vel_pi_staircase,g000006_c1,6,,,,,,0.023199567895444966,0.0009014937007474216,,,,,,,2.4902,4.3593,18.2887,0.0,1.752,0.0,13.0,,,,,,5.50502,PASS,
52,s04_vel_pi_staircase,g000006_c2,6,,,,,,0.019968149666850676,0.009150833826420143,,,,,,,2.619,4.52,16.6154,0.0,1.5956,0.0,13.0,,,,,,5.0487,PASS,
53,s04_vel_pi_staircase,g000006_c3,6,,,,,,0.040264624026415494,0.027678011107302294,,,,,,,3.9412,7.5006,9.3634,0.0,0.9338,0.0,13.0,,,,,,3.19552,PASS,
54,s04_vel_pi_staircase,g000006_c4,6,,,,,,0.5889298028782382,0.30507014697218493,,,,,,,7.9035,15.2403,8.7601,0.0,0.5072,10.228,13.0,,,,,,2.31195,PASS,
55,s04_vel_pi_staircase,g000006_c5,6,,,,,,4.16702690167153,0.1918954069149348,,,,,,,10.3488,15.2565,7.7472,0.0,0.5332,13.0,13.0,,,,,,2.63448,PASS,
56,s04_vel_pi_staircase,g000006_c6,6,,,,,,0.02703064350387128,0.00963640827269157,,,,,,,2.9952,5.2951,14.9367,0.0,1.4311,0.0,13.0,,,,,,4.59282,PASS,
57,s04_vel_pi_staircase,g000006_c7,6,,,,,,0.14305033567700054,0.0005423709318521472,,,,,,,5.1106,13.6992,7.3853,0.0,0.6595,0.0,13.0,,,,,,2.48956,PASS,
58,s04_vel_pi_staircase,g000007_c0,7,,,,,,10.959986700273003,0.000833222560800054,,,,,,,10.5737,15.261,8.145,0.0,0.623,13.0,13.0,,,,,,2.92637,PASS,
59,s04_vel_pi_staircase,g000007_c1,7,,,,,,1.1580271891440022,0.008680766935864696,,,,,,,8.5061,15.2436,7.8303,0.0,0.5853,13.0,13.0,,,,,,2.60651,PASS,
60,s04_vel_pi_staircase,g000007_c2,7,,,,,,0.058901271451243,0.005440288205368978,,,,,,,3.9181,7.4056,11.0018,0.0,1.0652,0.0,13.0,,,,,,3.58741,PASS,
