run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
24,s05_vel_pi_leg_cycling,g000002_c6,2,,,,,,0.007529111462049665,0.017394323632264445,,,,,,,2.5768,5.4178,13.2,0.0,1.3423,0.017532,0.448,13.0,,,,,,4.28458,PASS,
25,s05_vel_pi_leg_cycling,g000002_c7,2,,,,,,0.07309116957071723,0.00143308993549336,,,,,,,4.0291,10.1639,7.3707,0.0,0.8012,0.017575,0.404,13.0,,,,,,2.80651,PASS,
26,s05_vel_pi_leg_cycling,g000003_c0,3,,,,,,0.24265366940635044,0.001899296113594973,,,,,,,6.7249,27.4045,20.4754,0.0,3.3831,0.018139,0.296,13.0,,,,,,10.82179,PASS,
27,s05_vel_pi_leg_cycling,g000003_c1,3,,,,,,0.07886230995089774,0.0023488224997774312,,,,,,,4.1243,10.6127,7.0441,0.0,0.767,0.01758,0.4,13.0,,,,,,2.71343,PASS,
28,s05_vel_pi_leg_cycling,g000003_c2,3,,,,,,0.10007982866338776,0.0001,,,,,,,4.4179,12.2033,6.8509,0.0,0.6917,0.017591,0.384,13.0,,,,,,2.51689,PASS,
29,s05_vel_pi_leg_cycling,g000003_c3,3,,,,,,5.08813742496975,0.00010050327462853996,,,,,,,22.9426,38.5598,2.9525,0.0,0.0,0.059265,13.0,0.966,,,,,,202.29426,FAIL,fell over
30,s05_vel_pi_leg_cycling,g000003_c4,3,,,,,,0.06297478736035982,0.0001,,,,,,,3.8503,9.3335,8.197,0.0,0.8684,0.017567,0.41,13.0,,,,,,2.99023,PASS,
31,s05_vel_pi_leg_cycling,g000003_c5,3,,,,,,0.115703982763127,0.00020665799624227475,,,,,,,4.6252,13.4398,6.8616,0.0,0.6437,0.017599,0.374,13.0,,,,,,2.39362,PASS,
32,s05_vel_pi_leg_cycling,g000003_c6,3,,,,,,0.2971764362684613,0.002384280919067571,,,,,,,8.8264,26.3601,48.9905,0.0,5.4482,0.019237,4.402,13.0,,,,,,17.22724,PASS,
33,s05_vel_pi_leg_cycling,g000003_c7,3,,,,,,0.049665393764571075,0.0001,,,,,,,3.5968,8.2412,9.4232,0.0,0.9766,0.017558,0.416,13.0,,,,,,3.28948,PASS,
34,s05_vel_pi_leg_cycling,g000004_c0,4,,,,,,0.006432734945702175,0.0005868645705094174,,,,,,,2.2071,5.4137,16.5858,0.0,1.6754,0.017527,0.446,13.0,,,,,,5.24691,PASS,
35,s05_vel_pi_leg_cycling,g000004_c1,4,,,,,,9.178719889578995,0.0009873000761801043,,,,,,,23.6644,39.4898,3.077,0.0,0.8583,0.057882,13.0,1.014,,,,,,204.94134,FAIL,fell over
36,s05_vel_pi_leg_cycling,g000004_c2,4,,,,,,0.17749123390547808,0.0001,,,,,,,5.3802,19.0757,7.6066,0.0,0.7828,0.017644,0.334,13.0,,,,,,2.88642,PASS,
37,s05_vel_pi_leg_cycling,g000004_c3,4,,,,,,0.24526757629496662,0.002428547042950753,,,,,,,6.7205,22.4436,20.3379,0.0,3.3848,0.018133,0.294,13.0,,,,,,10.82645,PASS,
38,s05_vel_pi_leg_cycling,g000004_c4,4,,,,,,0.012869013725561377,0.0001,,,,,,,2.4941,5.4562,15.084,0.0,1.5183,0.017533,0.442,13.0,,,,,,4.80431,PASS,
39,s05_vel_pi_leg_cycling,g000004_c5,4,,,,,,0.7410244954619819,0.0001,,,,,,,15.5767,49.3862,70.5228,0.0,7.0656,0.020045,13.0,13.0,,,,,,22.75447,PASS,
40,s05_vel_pi_leg_cycling,g000004_c6,4,,,,,,0.1449653373170489,0.0014620042115890872,,,,,,,5.0456,16.8282,7.0684,0.0,0.6799,0.017626,0.356,13.0,,,,,,2.54426,PASS,
41,s05_vel_pi_leg_cycling,g000004_c7,4,,,,,,2.4793405574544884,0.0001,,,,,,,21.2515,36.0148,2.712,0.0,0.0,0.062655,13.0,0.862,,,,,,202.12515,FAIL,fell over
42,s05_vel_pi_leg_cycling,g000005_c0,5,,,,,,0.026727728115298565,0.11156610142806317,,,,,,,5.3947,11.5489,7.1998,0.0,0.6937,0.017556,0.436,13.0,,,,,,2.62057,PASS,
43,s05_vel_pi_leg_cycling,g000005_c1,5,,,,,,0.010929592023108711,0.00042430187289627943,,,,,,,2.4124,5.452,15.4773,0.0,1.5598,0.017531,0.444,13.0,,,,,,4.92064,PASS,
44,s05_vel_pi_leg_cycling,g000005_c2,5,,,,,,0.006545526759976006,0.0001,,,,,,,2.2098,5.4115,16.6299,0.0,1.6811,0.017528,0.448,13.0,,,,,,5.26428,PASS,
45,s05_vel_pi_leg_cycling,g000005_c3,5,,,,,,0.22013579537228392,0.0001,,,,,,,6.6416,22.6537,21.0089,0.0,3.4447,0.018162,0.31,13.0,,,,,,10.99826,PASS,
46,s05_vel_pi_leg_cycling,g000005_c4,5,,,,,,0.5716211373417507,0.0001,,,,,,,15.1347,49.4397,76.0041,0.0,7.4373,0.020166,13.0,13.0,,,,,,23.82537,PASS,
47,s05_vel_pi_leg_cycling,g000005_c5,5,,,,,,0.11277190269716722,0.0001,,,,,,,4.5854,13.1967,6.8548,0.0,0.6518,0.017601,0.378,13.0,,,,,,2.41394,PASS,
48,s05_vel_pi_leg_cycling,g000005_c6,5,,,,,,0.06182433163564604,0.00015208738322328345,,,,,,,3.835,9.2175,8.2987,0.0,0.8781,0.017571,0.41,13.0,,,,,,3.0178,PASS,
49,s05_vel_pi_leg_cycling,g000005_c7,5,,,,,,0.0036084076143479975,0.023087592542434674,,,,,,,2.5417,5.4109,12.9486,0.0,1.3223,0.017529,0.448,13.0,,,,,,4.22107,PASS,
50,s05_vel_pi_leg_cycling,g000006_c0,6,,,,,,0.5269937373503392,0.0001,,,,,,,14.7459,49.3171,77.6785,0.0,7.5063,0.020287,13.0,13.0,,,,,,23.99349,PASS,
51,s05_vel_pi_leg_cycling,g000006_c1,6,,,,,,0.3658452646350881,0.00012967858414027712,,,,,,,14.4677,49.5373,84.2993,0.0,7.8792,0.020448,13.0,13.0,,,,,,25.08437,PASS,
52,s05_vel_pi_leg_cycling,g000006_c2,6,,,,,,1.1208074220132938,0.013409732260562576,,,,,,,18.5251,49.4226,59.5833,0.0,6.4659,0.019763,13.0,13.0,,,,,,21.25021,PASS,
