file,n_events,malformed,crc_fail,datagram_count,datagram_seq_gaps,datagram_out_of_order,datagram_duplicates,datagram_loss_pct,ab_pair_drops,expected_ticks,completed_ticks,tick_loss_pct,jitter_p50_ms,jitter_p95_ms,jitter_p99_ms,jitter_max_ms,jitter_mean_ms,jitter_stdev_ms,clump_pct_lt_2ms,clump_max_gap_ms,rssi_bucket_worst_loss_dbm,rssi_bucket_worst_loss_count,rssi_min_dbm,rssi_max_dbm,channel_stable,channels_seen,wifi_reconnect_count_max,udp_send_fail_count_max,loop_max_us_max,udp_send_max_us_max,build_variant_flags,build_variant_names,active_telem_transport,ping_rtt_mean_ms,ping_rtt_p95_ms,ping_rtt_max_ms,ping_samples,pc_signal_pct_mean,pc_signal_pct_min,pc_rx_rate_mbps_mean,pc_rx_rate_mbps_min
wifi_baseline.jsonl,30485,0,0,29887,118,0,0,0.393267788701883,62.0,15003,14885,0.7865093647937083,0.0982284545898437,291.30316972732504,305.34082412719727,613.9736175537109,20.155321843711896,70.76039988301123,80.16662187583982,613.9736175537109,-60,7,-58,-53,True,[1.0],0,0,31024,9919,0,['default'],both/legacy,24.20805369127517,80.14999999999998,168.0,298,80.68243243243244,62,705.8378378378378,613.0
wifi_unicast.jsonl,30604,0,0,30004,2,0,0,0.0066653335999466,2.0,15003,15000,0.0199960007998378,19.98734474182129,28.081154823303205,39.511051177978565,297.4436283111572,20.000581081982208,7.564922541951589,1.9067937862524167,297.4436283111572,-55,2,-70,-53,True,[1.0],0,25,18368,7738,1,['unicast'],both/legacy,9.583892617449663,16.0,199.0,298,80.32432432432432,61,720.027027027027,649.0
wifi_combined.jsonl,15317,0,0,14725,281,0,0,1.872584299613488,,15006,14725,1.872584299613489,0.1130104064941406,290.2167320251464,300.38540601730347,593.9500331878662,20.380863318201055,72.29348367313206,84.08041293126868,593.9500331878662,-65,4,-72,-53,True,[1.0],0,0,15777,7566,2,['combined'],both/legacy,26.963087248322147,78.74999999999989,366.0,298,65.95945945945945,47,578.6756756756756,136.0
wifi_display_off.jsonl,30436,0,0,29836,179,0,0,0.5963684824254539,71.0,15008,14850,1.052771855010659,0.1423358917236328,284.14735794067377,294.4481563568115,593.6214923858643,20.192610903599984,70.58474877069744,79.68886793723483,593.6214923858643,-55,12,-60,-52,True,[1.0],0,0,16083,6383,16,['display_disabled'],both/legacy,20.95973154362416,73.0,412.0,298,66.52027027027027,47,574.8378378378378,408.0
wifi_neo_off.jsonl,30377,0,0,29779,273,0,0,0.9084253959803008,148.0,15026,14758,1.7835751364301822,0.1327991485595703,282.22918510437006,292.8564071655274,581.6912651062012,20.325507349928213,70.53102363414989,78.18662329741818,581.6912651062012,-65,12,-63,-57,True,[1.0],0,0,19392,6921,8,['neo_disabled'],both/legacy,73.6989966555184,193.0,397.0,299,48.4527027027027,47,570.7027027027027,432.0
wifi_txmax.jsonl,29166,0,0,28590,1048,0,0,3.5360010796949863,125.0,15006,14167,5.591096894575498,0.1351833343505859,284.30354595184326,296.0325956344605,2748.744010925293,21.165708944855748,75.75385488835147,79.5708033319215,2748.744010925293,-80,1,-77,-52,True,[1.0],0,5,20084,7588,4,['tx_power_max'],both/legacy,58.9283276450512,174.39999999999998,536.0,293,55.35135135135136,46,545.1486486486486,408.0
wifi_unicast_soak20min.jsonl,83451,0,0,81860,37826,2,0,31.604364754440788,1489.0,59975,38777,35.34472696957065,0.2532005310058594,160.09700298309326,426.95850133895874,1749.7022151947021,30.947300658315537,88.47720226379393,68.50887146688673,1749.7022151947021,-80,19,-77,-53,True,[1.0],0,37175,19763,8469,1,['unicast'],both/legacy,232.17786561264822,953.0,2718.0,506,46.58983050847458,45,570.0067796610169,272.0
